Source,Mode,Day,Start,End,Participants,Content
Facebook,message,11120,801,801,2,social
Tmobile,text,11120,1133,1133,5,entertain
Tmobile,text,11120,1133,1133,5,entertain
Tmobile,text,11120,1134,1134,5,entertain
Tmobile,text,11120,1134,1134,5,entertain
Tmobile,text,11120,1136,1136,5,entertain
Tmobile,text,11120,1136,1136,5,entertain
Tmobile,text,11120,1136,1136,5,entertain
Tmobile,text,11120,1139,1139,5,entertain
Tmobile,call,11120,1142,1146,2,social
Facetime,call,11120,1146,1149,3,social
Tmobile,text,11120,1212,1212,5,entertain
Tmobile,text,11120,1222,1222,5,entertain
Tmobile,text,11120,1345,1345,5,entertain
Tmobile,text,11120,1345,1345,5,entertain
Tmobile,text,11120,1350,1350,5,entertain
Tmobile,text,11120,1351,1351,5,entertain
Tmobile,text,11120,1518,1518,4,entertain
Tmobile,text,11120,1518,1518,4,entertain
Tmobile,text,11120,1529,1529,4,entertain
Facebook,message,11120,1541,1541,2,social
Facebook,message,11120,2259,2259,2,social
Tmobile,text,21120,830,830,1,work
Tmobile,text,21120,857,857,1,work
RingCentral,video,21120,900,1130,8,learn
Outlook,email,21120,901,901,3,work
Outlook,email,21120,903,903,3,work
Outlook,email,21120,909,909,3,work
Outlook,email,21120,913,913,2,work
Outlook,email,21120,921,921,3,work
Outlook,email,21120,925,925,5,work
Outlook,email,21120,925,925,2,work
Outlook,email,21120,930,930,2,work
Outlook,email,21120,932,932,3,work
Outlook,email,21120,1020,1020,2,work
Outlook,email,21120,1055,1055,2,work
Outlook,email,21120,1133,1133,2,work
Outlook,email,21120,1134,1134,2,work
Outlook,email,21120,1137,1137,2,work
Outlook,email,21120,1138,1138,3,work
Outlook,email,21120,1140,1140,2,work
Outlook,email,21120,1141,1141,4,work
Outlook,email,21120,1143,1143,2,work
Outlook,email,21120,1227,1227,4,work
Outlook,email,21120,1228,1228,2,work
Outlook,email,21120,1229,1229,9,work
Outlook,email,21120,1230,1230,3,work
Outlook,email,21120,1231,1231,4,work
Outlook,email,21120,1234,1234,3,work
Outlook,email,21120,1235,1235,3,work
Outlook,email,21120,1236,1236,3,work
Outlook,email,21120,1247,1247,2,work
Outlook,email,21120,1259,1259,2,work
MS Teams,video,21120,1300,1330,2,work
Outlook,email,21120,1300,1300,3,work
Outlook,email,21120,1302,1302,2,work
Outlook,email,21120,1313,1313,3,work
Outlook,email,21120,1321,1321,2,work
MS Teams,video,21120,1330,1530,3,work
Outlook,email,21120,1339,1339,2,work
Tmobile,text,21120,1428,1428,1,work
Tmobile,text,21120,1502,1502,1,work
Outlook,email,21120,1521,1521,2,work
Outlook,email,21120,1523,1523,4,work
Outlook,email,21120,1523,1523,3,work
Outlook,email,21120,1524,1524,3,work
Outlook,email,21120,1529,1529,2,work
Outlook,email,21120,1532,1532,2,work
Outlook,email,21120,1535,1535,2,work
Outlook,email,21120,1540,1540,3,work
Outlook,email,21120,1652,1652,2,work
Outlook,email,21120,1659,1659,3,work
Facebook,message,21120,1700,1700,2,social
Outlook,email,21120,1700,1700,3,work
Facebook,message,21120,1701,1701,2,social
Facebook,message,21120,1702,1702,2,social
Facebook,message,21120,1703,1703,2,social
Facebook,message,21120,1704,1704,2,social
Outlook,email,21120,1708,1708,2,work
Outlook,email,21120,1716,1716,2,work
Tmobile,text,31120,502,502,1,work
Tmobile,text,31120,502,502,1,work
Tmobile,text,31120,717,717,6,entertain
Tmobile,text,31120,719,719,6,entertain
Tmobile,text,31120,724,724,1,work
Tmobile,text,31120,726,726,4,entertain
Tmobile,text,31120,807,807,1,work
